station_id,city,area,latitude,longitude,installation_date,number_of_chargers,charger_type,power_capacity_kw,rental_cost_per_month,maintenance_cost_per_month
1,Pune,Central,18.755188,87.631143,2023-01-13,8,AC,60,68289.00,26717.00
2,Pune,West,24.438704,82.139072,2023-02-14,10,AC,60,62280.00,34328.00
3,Mumbai,West,15.280696,75.233515,2023-11-05,4,AC,180,104987.00,38030.00
4,Hyderabad,West,13.723529,86.312348,2023-05-23,4,AC,180,105392.00,42298.00
5,Bangalore,North,22.357729,83.845932,2023-04-21,9,AC,60,99797.00,26338.00
6,Bangalore,South,13.127293,87.930594,2023-11-06,8,AC,180,110217.00,55142.00
7,Delhi,East,26.035838,76.112490,2023-02-10,12,"DC Fast",180,97400.00,57837.00
8,Mumbai,Central,15.691017,75.661110,2023-01-24,7,"DC Fast",60,80512.00,26619.00
9,Hyderabad,South,17.637452,80.986200,2023-08-21,9,AC,120,96566.00,33730.00
10,Pune,South,19.667926,77.343175,2023-12-26,5,AC,180,82087.00,30708.00
11,Hyderabad,East,22.528461,74.976104,2023-05-19,12,AC,180,92504.00,23665.00
12,Mumbai,Central,17.445100,78.515245,2023-06-11,10,"DC Fast",60,77653.00,57170.00
13,Pune,South,20.051513,85.048745,2023-04-19,11,"DC Fast",180,110142.00,29363.00
14,Bangalore,North,15.974813,80.822057,2023-05-07,12,"DC Fast",180,106155.00,58242.00
15,Hyderabad,South,22.219392,73.524626,2023-04-23,6,"DC Fast",60,56175.00,27185.00
16,Mumbai,North,22.459963,75.460176,2023-12-15,10,AC,120,100019.00,59052.00
17,Hyderabad,West,13.834320,87.602614,2023-05-09,12,AC,180,65014.00,55190.00
18,Bangalore,South,28.153549,85.410999,2023-02-27,8,"DC Fast",60,109470.00,20212.00
19,Pune,South,17.643359,74.323685,2023-09-14,6,AC,180,89117.00,53270.00
20,Chennai,North,23.679305,79.666379,2023-03-20,9,AC,180,119514.00,20037.00
21,Chennai,South,14.740408,80.524760,2023-09-08,4,AC,120,90306.00,35692.00
